year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,JSTtrilemmaIV_R,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr
1887,Germany,DEU,134,47540,2275,14,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,,,15.69,117.33,32.22,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1888,Germany,DEU,134,48020,2341,15,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,,,15.10,116.48,32.81,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1889,Germany,DEU,134,48512,2379,15,13,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,,,15.75,118.17,33.14,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1890,Germany,DEU,134,49239,2428,15,13,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,16.27,119.45,34.06,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1891,Germany,DEU,134,49767,2397,15,13,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,,,15.96,118.13,34.78,1,1,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1892,Germany,DEU,134,50279,2469,15,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,,,15.68,119.06,36.36,0,0,1,1,PEG,GBR,-1,-2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1893,Germany,DEU,134,50778,2565,16,14,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,,,15.31,117.34,36.67,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1894,Germany,DEU,134,51339,2598,16,14,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,,,14.48,116.09,37.03,0,0,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1895,Germany,DEU,134,52001,2686,16,14,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,,,14.26,116.81,37.49,0,0,1,1,PEG,GBR,0,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1896,Germany,DEU,134,52753,2740,17,14,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,,,14.43,117.50,37.96,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1897,Germany,DEU,134,53549,2775,17,15,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,,,14.86,118.68,38.12,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1898,Germany,DEU,134,54406,2848,17,15,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,,,15.41,120.67,37.76,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1899,Germany,DEU,134,55248,2905,17,15,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,15.59,121.86,37.85,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1900,Germany,DEU,134,56046,2985,17,15,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,15.15,123.50,38.39,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1901,Germany,DEU,134,56874,2871,17,15,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,,,15.08,120.68,37.33,1,1,1,1,PEG,GBR,-1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1902,Germany,DEU,134,57767,2893,17,15,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,,,14.59,118.64,36.38,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1903,Germany,DEU,134,58629,3008,17,15,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,,,13.98,117.89,36.10,0,0,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1904,Germany,DEU,134,59475,3083,18,15,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,,,13.58,117.22,35.41,0,0,1,1,PEG,GBR,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1905,Germany,DEU,134,60314,3104,18,15,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,,,13.25,117.16,34.89,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1906,Germany,DEU,134,61153,3152,18,15,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,13.17,117.89,34.24,0,0,1,1,PEG,GBR,1,2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1907,Germany,DEU,134,62013,3245,19,16,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,,,13.10,118.65,34.39,0,1,1,1,PEG,GBR,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1908,Germany,DEU,134,62863,3254,19,16,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,,,12.96,116.78,33.73,0,0,1,1,PEG,GBR,-2,-2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1909,Germany,DEU,134,63717,3275,19,16,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,,,12.56,115.74,32.90,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1910,Germany,DEU,134,64568,3348,19,16,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,,,12.19,113.77,32.38,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1911,Germany,DEU,134,65359,3408,20,16,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,12.20,113.92,32.27,0,0,1,1,PEG,GBR,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1912,Germany,DEU,134,66146,3524,20,17,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,,,11.91,114.52,32.63,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1913,Germany,DEU,134,66978,3648,21,16,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,,,11.66,113.87,31.87,0,0,1,1,PEG,GBR,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1914,Germany,DEU,134,67790,3059,19,14,0,,0,,,,,0,4,5,0,,0,,0,0,0,,,11.58,111.09,31.00,0,0,0,0,FLOAT,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1915,Germany,DEU,134,67883,2899,17,13,0,,0,,,,,0,4,5,0,,0,,0,0,0,,,11.04,110.47,30.19,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,0,,,0,0,,,,0,0,,,0
1916,Germany,DEU,134,67715,2935,17,11,0,,0,,,,,0,5,5,0,,,,0,0,0,,,9.93,109.94,28.09,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,0,,,0,0,,,,0,0,,,0
1917,Germany,DEU,134,67368,2952,14,10,0,,0,,,,,0,5,5,0,,,,0,0,0,,,8.31,107.19,23.26,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,0,,,0,0,,,,0,0,,,0
1918,Germany,DEU,134,66811,2983,14,10,0,,0,,,,,0,5,5,0,,,,0,0,0,,,6.95,103.13,19.13,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,0,,,0,0,,,,0,0,,,0
1919,Germany,DEU,134,62897,2586,13,11,0,,0,,,,,0,5,6,0,,,,0,0,0,,,5.09,100.69,13.99,0,0,0,0,FLOAT,HYBRID,,,1,,0,0,,,0,,,0,0,,,,0,0,,,0
1920,Germany,DEU,134,61974,2796,15,11,0,0,0,,,,,0,4,6,0,,,,0,0,,,,4.42,99.73,10.89,0,0,0,0,FLOAT,HYBRID,,,1,,0,0,,,1,,,1,0,,,,0,0,,,0
1921,Germany,DEU,134,62473,3078,16,13,0,0,0,,,,,0,3,6,0,,,,0,,,,,,,,0,0,0,0,FLOAT,HYBRID,,,1,,0,0,,,0,,,1,0,,,,0,0,,,0
1922,Germany,DEU,134,61185,3331,17,13,0,0,0,,,,,0,6,,0,,,,0,,,,,,,,0,0,0,0,FLOAT,HYBRID,,,21,,0,0,,,1,,,20,0,,,,,0,,,0
1923,Germany,DEU,134,61577,2750,14,12,6,0,2,,,,4,,,,,,,,1,,,,,,,,0,0,0,0,FLOAT,HYBRID,,,2639074816,,0,,,,,,,2534419200,0,,,,,0,,,
1924,Germany,DEU,134,61953,3199,16,14,56,0,20,,9,7,9,,11,10,5,,,,4,3,1,,,14.31,78.37,28.72,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,,,0,0,0,,,,0,0,,,0
1925,Germany,DEU,134,62411,3532,17,16,65,0,22,-2,12,9,12,17,8,8,6,,5,5,4,5,2,,,11.34,86.17,31.89,0,0,1,1,PEG,HYBRID,,,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1926,Germany,DEU,134,62866,3605,17,16,68,0,22,1,10,10,15,19,6,7,6,,6,7,4,10,4,,,9.50,101.92,36.01,0,0,1,1,PEG,HYBRID,0,0,1,0,0,0,,,0,0,0,1,0,,,,0,0,0,1,0
1927,Germany,DEU,134,63252,3941,19,18,76,0,23,-3,14,11,17,21,7,6,8,0,7,7,4,15,7,,,8.61,111.41,39.54,0,0,1,1,PEG,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1928,Germany,DEU,134,63618,4090,19,18,81,0,24,-1,14,12,19,22,7,7,8,0,7,8,4,21,10,,,8.18,116.70,43.55,0,0,1,1,PEG,HYBRID,0,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1929,Germany,DEU,134,63957,4051,19,18,81,0,24,0,13,13,19,22,8,7,9,0,7,8,4,25,13,,,7.68,123.99,43.48,0,0,1,1,PEG,HYBRID,1,1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1930,Germany,DEU,134,64294,3973,17,17,75,0,23,1,10,12,18,21,6,7,7,0,8,9,4,28,15,,,7.53,133.03,45.56,0,0,1,1,PEG,HYBRID,-2,-3,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1931,Germany,DEU,134,64631,3652,15,16,61,0,21,2,7,10,14,18,8,7,6,0,6,7,4,28,16,,,8.53,151.93,49.78,1,1,1,1,PEG,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1932,Germany,DEU,134,64911,3362,14,16,51,0,19,0,5,6,12,16,5,10,5,0,6,6,4,28,16,,,9.71,153.63,50.83,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1933,Germany,DEU,134,65218,3556,15,16,52,0,18,0,4,5,11,16,5,8,5,0,6,6,3,29,16,,,9.65,148.18,50.98,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1934,Germany,DEU,134,65595,3858,16,17,58,0,19,-1,4,4,12,18,5,7,5,0,7,8,2,30,17,,,9.96,132.79,48.21,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1935,Germany,DEU,134,66871,4120,18,17,65,0,19,0,4,4,13,20,3,5,5,0,8,10,2,33,19,,,8.83,125.40,48.45,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1936,Germany,DEU,134,67349,4451,20,17,73,0,19,0,4,5,14,21,3,5,5,0,10,13,2,33,20,,,8.82,116.59,45.90,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1937,Germany,DEU,134,67831,4685,22,18,81,0,19,0,5,6,13,23,3,5,5,0,13,17,2,35,20,,,8.14,103.70,44.24,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1938,Germany,DEU,134,68424,4994,24,19,90,0,19,0,5,5,17,28,3,5,5,0,18,29,2,39,22,,,7.71,96.14,42.44,0,0,0,0,FLOAT,HYBRID,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1939,Germany,DEU,134,69314,5406,28,20,109,0,19,,5,6,,,3,5,,0,,,2,43,24,,,7.77,86.44,41.34,0,0,0,0,FLOAT,HYBRID,,,0,,0,0,,,,,,0,0,,,,0,0,,,0
1940,Germany,DEU,134,69838,5403,32,18,123,,20,,5,5,,,2,4,,1,,,3,49,24,,,6.69,62.61,39.54,0,0,0,0,FLOAT,USA,,,0,,0,0,,,,,,0,0,,,,0,0,,,0
1941,Germany,DEU,134,70244,5711,37,18,134,,21,,7,7,,,2,4,,1,,,2,,,,,,,,0,0,0,0,FLOAT,USA,,,0,,0,0,,,,,,0,0,,,,0,0,,,0
1942,Germany,DEU,134,70834,5740,38,16,139,,21,,9,8,,,2,4,,1,,,2,,,,,,,,0,0,0,0,FLOAT,USA,,,0,,0,0,,,,,,0,0,,,,0,0,,,0
1943,Germany,DEU,134,70411,5890,41,16,151,,21,,8,9,,,2,4,,2,,,2,,,,,,,,0,0,0,0,FLOAT,USA,,,0,,0,0,,,,,,0,0,,,,0,0,,,0
1944,Germany,DEU,134,64247,6084,38,14,145,,22,,,,,,2,,,,,,2,,,,,,,,0,0,0,0,FLOAT,USA,,,0,,,0,,,,,,0,0,,,,,0,,,
1945,Germany,DEU,134,65884,4514,13,12,,,22,,,,,,,,,,,,,,,,,,,,0,0,0,0,FLOAT,USA,,,0,,,,,,,,,0,0,,,,,0,,,
1946,Germany,DEU,134,49260,2217,11,12,45,,24,,,,,,,,,,,,18,3,,,,,,,0,0,0,0,FLOAT,USA,,,0,,,,,,,,,0,0,,,,,0,,,
1947,Germany,DEU,134,49188,2436,13,12,56,,26,,,,,,,,,,,,24,4,,,,,,,0,0,0,0,FLOAT,USA,,,0,,,,,,,,,0,0,,,,,0,,,
1948,Germany,DEU,134,49311,2834,15,14,77,0,30,0,3,2,12,24,,6,,,,,21,5,,,,,68.54,,0,0,0,0,FLOAT,USA,,,-1,,,,,,,,,-1,0,,,,0,0,,,
1949,Germany,DEU,134,49987,3282,18,15,99,0,32,0,7,4,14,29,,5,,,,,6,12,1,,,,106.62,,0,0,0,0,FLOAT,USA,,,1,,0,,,,,,,1,0,,,,0,0,,,
1950,Germany,DEU,134,50799,3881,19,17,108,0,30,0,11,8,16,33,4,5,,0,18,12,4,20,4,3,17,2.94,138.65,61.32,0,0,0,0,FLOAT,USA,0,0,0,,0,0,,,,,,0,0,,,,0,0,,,0
1951,Germany,DEU,134,51157,4206,20,18,132,0,33,3,13,15,19,38,6,5,,0,19,18,4,26,5,5,21,3.00,143.36,62.16,0,0,0,0,FLOAT,USA,0,0,1,,0,0,,,,,,1,0,,,,0,0,,,0
1952,Germany,DEU,134,51611,4553,22,20,151,0,33,3,15,17,21,42,5,5,,0,21,20,4,34,7,7,27,3.21,144.17,61.63,0,0,0,0,FLOAT,USA,0,0,0,,0,0,,,,,,0,0,,,,0,0,,,0
1953,Germany,DEU,134,52148,4905,24,22,162,0,33,4,15,19,23,46,4,5,,0,23,23,4,43,10,10,32,3.33,144.10,60.96,0,0,0,0,FLOAT,USA,0,0,0,,0,0,,,,,,0,0,,,,0,0,,,0
1954,Germany,DEU,134,52665,5247,26,23,174,0,33,4,18,22,26,51,3,5,,0,24,24,4,53,15,15,38,3.05,145.43,62.29,0,0,1,1,PEG,USA,0,0,1,,0,0,,,,,,1,0,,,,0,0,,,0
1955,Germany,DEU,134,52229,5797,28,25,199,0,33,2,24,26,29,57,3,5,,0,26,23,4,65,20,20,45,3.18,152.88,63.38,0,0,1,1,PEG,USA,-1,0,0,,0,0,,,,,,0,0,,,,0,0,,,0
1956,Germany,DEU,134,53931,6177,30,27,220,0,34,4,25,31,31,63,5,7,,0,28,28,4,73,24,24,49,3.40,151.36,62.78,0,0,1,1,PEG,USA,1,0,0,,0,0,,,,,,0,0,,,,0,0,,,0
1957,Germany,DEU,134,54657,6492,31,29,240,0,35,6,32,36,35,73,4,7,,0,29,32,4,81,29,29,52,3.63,139.24,61.93,0,0,1,1,PEG,USA,0,1,0,,0,0,,,,,,0,0,,,,0,0,,,0
1958,Germany,DEU,134,55292,6737,32,30,258,0,36,6,32,37,39,83,3,7,,0,31,34,4,89,35,33,56,3.79,130.93,60.75,0,0,1,1,PEG,USA,-2,-1,1,,0,0,,,,,,1,0,,,,0,0,,,0
1959,Germany,DEU,134,56002,7177,35,31,282,0,36,4,36,41,44,97,3,6,,0,37,38,4,105,42,41,63,3.92,132.61,60.92,0,0,1,1,PEG,USA,2,3,1,,0,0,,,,,,1,0,,,,0,0,,,0
1960,Germany,DEU,134,55433,7705,37,33,316,0,36,5,43,48,47,107,5,6,,0,41,41,4,135,51,62,72,3.88,149.52,62.92,0,0,1,1,PEG,USA,0,-1,0,,0,0,,,,,,0,0,,,,0,0,,,0
1961,Germany,DEU,134,56185,7952,38,35,346,0,37,3,44,51,54,123,3,6,,0,48,48,4,156,59,71,85,4.22,153.14,63.62,0,0,1,1,PEG,USA,-1,-1,0,,0,0,,,,,,0,0,,,,0,0,,,0
1962,Germany,DEU,134,56837,8222,40,36,377,0,38,-2,50,53,58,136,3,6,22,0,50,51,4,177,69,81,96,4.31,154.49,63.26,0,0,1,1,PEG,USA,1,1,0,,0,0,,,,,0,0,0,,,,0,0,,,0
1963,Germany,DEU,134,57389,8386,40,37,399,0,40,1,52,58,62,149,3,6,25,0,53,55,4,199,79,92,107,4.26,152.83,62.97,0,0,1,1,PEG,USA,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1964,Germany,DEU,134,57971,8822,43,39,439,0,40,0,59,65,67,163,3,6,27,0,58,59,4,223,91,104,119,4.30,151.45,62.28,0,0,1,1,PEG,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1965,Germany,DEU,134,58619,9186,44,41,480,0,42,-7,70,72,72,180,4,7,32,0,64,65,4,250,103,116,134,4.28,148.59,61.53,0,0,1,1,PEG,USA,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1966,Germany,DEU,134,59148,9388,45,42,510,0,43,0,73,81,74,195,5,8,36,0,66,69,4,271,111,125,146,3.73,144.00,60.72,0,0,1,1,PEG,USA,1,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1967,Germany,DEU,134,59286,9397,45,42,516,0,44,10,70,87,81,219,3,7,39,0,68,77,4,289,131,133,156,3.62,132.94,59.91,0,0,1,1,PEG,USA,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1968,Germany,DEU,134,59500,9864,47,44,557,0,45,12,81,100,88,244,3,6,42,0,71,76,4,323,151,151,172,3.58,127.04,59.37,0,0,1,1,PEG,USA,1,2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1969,Germany,DEU,134,60067,10440,50,47,623,0,46,7,98,114,93,267,5,7,44,0,84,82,4,373,162,167,206,3.55,130.56,59.64,0,0,1,1,PEG,USA,3,2,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1970,Germany,DEU,134,60651,10839,53,50,705,0,47,3,110,125,102,292,9,8,47,0,89,88,4,417,174,178,239,3.60,129.99,59.34,0,0,1,1,PEG,USA,-1,-1,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1971,Germany,DEU,134,61284,11077,54,52,783,0,50,0,120,136,115,331,6,8,51,0,98,99,3,476,189,198,278,3.47,128.06,58.32,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1972,Germany,DEU,134,61672,11481,55,55,853,0,52,1,129,149,132,378,4,8,54,0,107,113,3,555,211,227,328,3.45,128.58,57.84,0,0,1,1,PEG,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1973,Germany,DEU,134,61976,11966,58,56,951,0,56,11,145,178,134,417,10,9,58,0,120,123,3,616,237,257,359,3.45,126.55,57.22,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1974,Germany,DEU,134,62054,12063,58,56,1029,0,60,22,180,231,149,429,9,10,62,0,125,135,2,656,254,271,385,3.41,122.80,57.34,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1975,Germany,DEU,134,61829,12041,57,58,1078,0,63,8,184,222,170,460,4,8,63,0,125,160,3,689,271,293,396,3.35,112.58,56.44,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1976,Germany,DEU,134,61531,12684,61,61,1168,0,66,9,222,257,175,503,4,8,64,0,138,167,2,752,287,325,427,3.43,111.95,56.41,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1977,Germany,DEU,134,61400,13072,63,63,1245,0,69,8,235,274,197,549,4,6,67,0,152,174,2,820,307,363,457,3.41,110.06,56.56,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1978,Germany,DEU,134,61326,13455,65,66,1328,0,70,17,244,285,226,607,3,6,72,0,165,191,2,908,336,416,492,3.32,109.52,56.85,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1979,Germany,DEU,134,61359,13993,67,68,1442,0,73,-9,292,314,233,665,6,7,80,0,179,205,2,1022,365,474,548,3.31,114.01,57.39,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1980,Germany,DEU,134,61566,14114,68,69,1542,0,77,-31,341,350,243,708,9,8,85,0,190,218,2,1122,398,460,724,3.27,117.39,57.97,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1981,Germany,DEU,134,61682,14149,68,68,1615,0,82,-12,369,397,239,767,11,10,91,0,197,235,2,1206,427,429,777,3.26,119.77,59.01,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1982,Germany,DEU,134,61638,14040,67,68,1682,0,86,13,376,428,256,824,9,9,92,0,209,247,2,1270,455,456,815,3.31,118.16,58.97,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1983,Germany,DEU,134,61423,14329,68,69,1757,0,89,12,390,432,277,878,5,8,92,0,217,249,3,1360,488,497,864,3.34,119.32,59.07,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1984,Germany,DEU,134,61175,14783,71,71,1842,0,91,29,434,488,295,917,6,8,90,0,225,254,3,1447,519,532,914,3.38,119.08,59.27,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1985,Germany,DEU,134,61024,15140,72,72,1925,0,93,44,464,537,315,961,5,7,90,0,237,259,2,1548,557,579,968,3.50,116.13,58.51,0,0,0,0,FLOAT,USA,0,0,1,0,0,0,,,0,0,0,1,0,,,,0,0,0,0,0
1986,Germany,DEU,134,61066,15469,74,75,2028,0,93,75,414,526,341,1041,5,6,90,0,240,264,2,1614,588,613,1001,3.60,112.32,58.02,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1987,Germany,DEU,134,61077,15701,75,77,2083,0,94,70,410,527,367,1113,4,6,89,0,243,271,2,1665,612,644,1022,3.67,108.08,57.33,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1988,Germany,DEU,134,61449,16160,77,79,2197,0,95,96,440,568,409,1188,4,6,90,0,242,278,2,1754,641,681,1073,3.65,107.67,57.57,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1989,Germany,DEU,134,62063,16558,79,81,2348,0,97,97,506,641,434,1288,7,7,93,0,273,293,2,1881,672,729,1152,3.76,109.36,58.21,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1990,Germany,DEU,134,63253,15929,82,82,2556,0,100,69,556,661,559,1462,8,9,100,0,287,311,1,2218,697,787,1432,3.79,111.24,60.48,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1991,Germany,DEU,134,79961,16650,85,85,3001,0,104,-40,645,666,583,1649,9,8,105,0,353,406,2,2451,727,855,1596,3.91,116.09,60.57,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1992,Germany,DEU,134,80571,16891,87,87,3221,0,109,-41,628,658,653,1802,9,8,112,0,392,432,2,2648,779,919,1729,4.12,118.76,60.92,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1993,Germany,DEU,134,81103,16645,85,87,3314,0,114,-37,572,632,709,1986,7,7,119,0,396,463,2,2848,896,1014,1835,4.04,117.27,61.60,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1994,Germany,DEU,134,81384,17028,87,89,3483,0,117,-52,623,695,756,2180,5,7,123,0,428,479,2,3007,1020,1123,1885,4.21,120.16,62.42,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1995,Germany,DEU,134,81624,17299,89,90,3615,0,119,-46,664,750,809,2216,5,7,125,1,439,490,1,3176,1119,1211,1965,4.20,119.17,63.10,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1996,Germany,DEU,134,81861,17420,89,91,3669,0,121,-26,690,789,909,2342,3,6,124,1,415,494,2,3417,1227,1306,2111,4.12,118.48,63.72,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1997,Germany,DEU,134,81980,17709,91,92,3747,0,123,-21,772,889,927,2460,3,6,121,1,419,482,2,3614,1336,1389,2225,4.15,121.01,65.80,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
1998,Germany,DEU,134,81993,18029,93,93,3844,0,123,-26,828,955,1020,2569,3,5,119,1,456,513,2,3851,1430,1484,2367,4.03,122.14,67.43,0,0,0,0,FLOAT,USA,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,0,0,0,0
